impression_id,user_id,baseline_top_news_id,baseline_top_title,baseline_top_category,baseline_top_click_label,baseline_top_baseline_score,baseline_top_informative_score,baseline_top_article_score,baseline_top_rank_under_informative,informative_top_news_id,informative_top_title,informative_top_category,informative_top_click_label,informative_top_baseline_score,informative_top_informative_score,informative_top_article_score,informative_top_rank_under_baseline,article_score_gain_informative_top_minus_baseline_top,rank_flip_strength,informative_picked_more_informative_article
24564,U45349,N60550,Funny celeb pics for November 2019,entertainment,0,0.10145213454961777,0.026472335681319237,0.5038,21,N55949,"Marcia Cross' anal cancer may have been linked to HPV. She wants people to know they could have the virus, too.",health,0,0.09725615382194519,0.060278259217739105,0.9858,2,0.482,21,1
2606,U68465,N60550,Funny celeb pics for November 2019,entertainment,0,0.15073835849761963,0.058333463966846466,0.5038,2,N21436,Maren Morris's Glamorous CMAs Gown Is Absolutely What Cinderella Would Wear in 2019,lifestyle,0,0.06790518760681152,0.05919476971030235,0.9698,8,0.46599999999999997,8,1
71792,U53438,N60550,Funny celeb pics for November 2019,entertainment,0,0.10560791194438934,0.03363603353500366,0.5038,14,N61754,6 Ways You Can Unclog a Toilet Bowl Without a Plunger,lifestyle,0,0.08943842351436615,0.05766817182302475,0.965,4,0.46119999999999994,16,1
60799,U24742,N60550,Funny celeb pics for November 2019,entertainment,1,0.08004052191972733,0.03191619738936424,0.5038,3,N12300,Teen daughters 'pre-create' a wedding day so they could dance with their father after he was diagnosed with terminal brain cancer,lifestyle,0,0.05580667033791542,0.05818023160099983,0.9613,4,0.4575,5,1
53494,U74768,N60550,Funny celeb pics for November 2019,entertainment,1,0.08735807985067368,0.017674433067440987,0.5038,8,N37204,"Model, 23, Didn't Know She Was Pregnant Until She Gave Birth to a Full-Term Baby in Her Bathroom",health,0,0.05802597478032112,0.04480847716331482,0.9502,3,0.4464,9,1
22715,U14192,N60550,Funny celeb pics for November 2019,entertainment,1,0.11834847182035446,0.043991126120090485,0.5038,3,N4021,9 Amazing Transgender Women Who Changed History,lifestyle,0,0.05530872941017151,0.05706503242254257,0.9461,11,0.4423,12,1
6228,U46819,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.07097449898719788,0.03840082138776779,0.5555,2,N436,'A turning point in this hearing': Fox personalities speculate if Trump-Yovanovitch tweet could lead to witness intimidation charges,news,0,0.04735979437828064,0.0399559885263443,0.9741,3,0.41859999999999997,3,1
54666,U36116,N60550,Funny celeb pics for November 2019,entertainment,0,0.13071756064891815,0.04420426860451698,0.5038,4,N496,Fashion hits and misses from the 2019 Country Music Association Awards,music,0,0.07611656188964844,0.050125379115343094,0.9123,8,0.4085,10,1
14945,U9492,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.06290535628795624,0.03203831985592842,0.5555,2,N32986,This is the worst day to shop for Thanksgiving dinner,foodanddrink,0,0.046943750232458115,0.038147617131471634,0.9639,2,0.4084,2,1
6358,U92588,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.057595785707235336,0.03068462200462818,0.5555,3,N35340,MLB GM wants Jeff Luhnow 'banned for life' if he knew of Astros' sign-stealing,sports,0,0.042054012417793274,0.03932064771652222,0.9588,5,0.4033,6,1
23115,U85837,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.08947128802537918,0.03849814459681511,0.5555,2,N35340,MLB GM wants Jeff Luhnow 'banned for life' if he knew of Astros' sign-stealing,sports,0,0.08427398651838303,0.03905462846159935,0.9588,2,0.4033,2,1
31727,U4152,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.06257958710193634,0.034421008080244064,0.5555,2,N64954,Who is Marie Yovanovitch? Ambassador testifying at the impeachment hearing,news,0,0.058518778532743454,0.03910849988460541,0.9583,2,0.40280000000000005,2,1
30614,U89094,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.08124583959579468,0.0364828035235405,0.5555,2,N58828,Attorney: Garrett's actions against QB to be 'reviewed thoroughly',sports,0,0.05980691686272621,0.05000742897391319,0.9533,2,0.39780000000000004,2,1
50320,U75882,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.05250483378767967,0.02645287849009037,0.5555,2,N58828,Attorney: Garrett's actions against QB to be 'reviewed thoroughly',sports,0,0.01875501498579979,0.0310987439006567,0.9533,2,0.39780000000000004,2,1
12117,U42617,N60550,Funny celeb pics for November 2019,entertainment,0,0.13736510276794434,0.039802275598049164,0.5038,8,N12029,John Legend Is PEOPLE's Sexiest Man Alive 2019: 'I'm Excited but a Little Scared at the Same Time',music,0,0.06904003769159317,0.05614730715751648,0.8875,7,0.38369999999999993,13,1
38312,U63488,N60550,Funny celeb pics for November 2019,entertainment,0,0.12911655008792877,0.03016531839966774,0.5038,14,N24109,"Demi Lovato debuts new boyfriend, plus more celeb love life news for mid-November 2019",entertainment,0,0.0713631808757782,0.06477495282888412,0.8849,7,0.3811,19,1
12873,U62199,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.08616816252470016,0.04597795009613037,0.5555,2,N53572,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",music,0,0.07994300872087479,0.047674957662820816,0.9323,3,0.3768,3,1
17876,U84945,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,1,0.08662892132997513,0.03927234932780266,0.5555,2,N53572,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",music,0,0.07317084819078445,0.047074634581804276,0.9323,2,0.3768,2,1
39499,U434,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.03510019928216934,0.021826794371008873,0.5555,2,N53572,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",music,0,0.03404600918292999,0.024182071909308434,0.9323,2,0.3768,2,1
51752,U85797,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,1,0.06420226395130157,0.03439614176750183,0.5555,2,N53572,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",music,0,0.05382944643497467,0.034629691392183304,0.9323,2,0.3768,2,1
64953,U74653,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.09869163483381271,0.04084205627441406,0.5555,2,N53572,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",music,0,0.08371224999427795,0.043343156576156616,0.9323,2,0.3768,2,1
24916,U46442,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.0758642628788948,0.04211413115262985,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.05867262929677963,0.061291299760341644,0.932,4,0.37650000000000006,4,1
37050,U32049,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.09191770851612091,0.0528036467730999,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.08534159511327744,0.0546492263674736,0.932,2,0.37650000000000006,2,1
42857,U32159,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.08316459506750107,0.05277465283870697,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.08182773739099503,0.05590362846851349,0.932,2,0.37650000000000006,2,1
43448,U15305,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.09219406545162201,0.04983382299542427,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.08802694082260132,0.05100838467478752,0.932,2,0.37650000000000006,2,1
47825,U55491,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.09884553402662277,0.04487847909331322,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.0745420902967453,0.04574117809534073,0.932,2,0.37650000000000006,2,1
51201,U72642,N46749,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,tv,0,0.05204951390624046,0.03215096890926361,0.5555,2,N1952,Maze of tunnels reveals remains of ancient Jerusalem,travel,0,0.044325489550828934,0.03999985381960869,0.932,2,0.37650000000000006,2,1
